Measure,PID,use,valdays,valwkdays,valwkend,allMeanWakeWear,allMeanSleepNW,allmean_mv_EV,allmean_cntmv_EV,allmean_v_EV,allmean_cntv_EV,allmean_m_EV,allmean_cntm_EV,allmean_l_EV,allmean_cntl_EV,allmean_s_EV,allmean_cnts_EV,allMeanActCounts,allMeanIntenPerMin,WKDAYMeanWakeWear,WKDAYMeanSleepNW,WKDAYmean_mv_EV,WKDAYmean_cntmv_EV,WKDAYmean_v_EV,WKDAYmean_cntv_EV,WKDAYmean_m_EV,WKDAYmean_cntm_EV,WKDAYmean_l_EV,WKDAYmean_cntl_EV,WKDAYmean_s_EV,WKDAYmean_cnts_EV,WKDAYMeanActCounts,WKDAYMeanIntenPerMin,WKENDMeanWakeWear,WKENDMeanSleepNW,WKENDmean_mv_EV,WKENDmean_cntmv_EV,WKENDmean_v_EV,WKENDmean_cntv_EV,WKENDmean_m_EV,WKENDmean_cntm_EV,WKENDmean_l_EV,WKENDmean_cntl_EV,WKENDmean_s_EV,WKENDmean_cnts_EV,WKENDMeanActCounts,WKENDMeanIntenPerMin,SUNMeanWakeWear,SUNMeanSleepNW,SUNmean_mv_EV,SUNmean_cntmv_EV,SUNmean_v_EV,SUNmean_cntv_EV,SUNmean_m_EV,SUNmean_cntm_EV,SUNmean_l_EV,SUNmean_cntl_EV,SUNmean_s_EV,SUNmean_cnts_EV,SUNMeanActCounts,SUNMeanIntenPerMin
1,1130,A,7,5,2,933.5714286,506.4285714,67.60714286,218652.7143,10.21428571,50072.71429,57.39285714,168580,370.7857143,290501.7143,495.1785714,5239.285714,514393.7143,550.9955624,956.6,483.4,64.65,208518.4,9.35,45413.2,55.3,163105.2,378.2,284475.4,513.75,5685,498678.8,521.3033661,876,564,75,243988.5,12.375,61721.5,62.625,182267,352.25,305567.5,448.75,4125,553681,632.0559361,860,580,66.5,232102,15.5,80347,51,151755,303.75,268228,489.75,4141,504471,586.594186
1,1131,A,6,4,2,881.6666667,558.3333333,62.20833333,251841.1667,16.125,116518.5,46.08333333,135322.6667,317.2083333,243807.1667,502.25,4538.833333,500187.1667,567.3200378,929.75,510.25,50.375,168537,8.875,46323,41.5,122214,321.1875,235806.25,558.1875,4856,409199.25,440.1175047,785.5,654.5,85.875,418449.5,30.625,256909.5,55.25,161540,309.25,259809,390.375,3904.5,682163,868.444303,821,619,111.5,611171,43.25,414243,68.25,196928,320.75,293411,388.75,3348,907930,1105.883069
1,1132,A,7,5,2,904.4285714,535.5714286,54.82142857,203759.2857,15.17857143,83205,39.64285714,120554.2857,307.75,211916,541.8571429,5942.571429,421617.8571,466.1704312,902.4,537.6,60.8,219802.8,15.9,83331.2,44.9,136471.6,312.85,220011.6,528.75,6038,445852.4,494.0740248,909.5,530.5,39.875,163650.5,13.375,82889.5,26.5,80761,295,191677,574.625,5704,361031.5,396.9560198,756,684,17,58762,2.75,14940,14.25,43822,259.25,167678,479.75,5118,231558,306.2936508
1,1201,A,7,5,2,881.2857143,558.7142857,53.03571429,165965.4286,4.892857143,28899,48.14285714,137066.4286,295.7857143,217644.2857,532.4642857,5580.714286,389190.4286,441.6166315,938,502,55.05,165520.6,3.7,18320.2,51.35,147200.4,307.95,218400.6,575,5809.2,389730.4,415.4908316,739.5,700.5,48,167077.5,7.875,55346,40.125,111731.5,265.375,215753.5,426.125,5009.5,387840.5,524.4631508,672,768,51.75,190223,8.25,70471,43.5,119752,232.75,192584,387.5,4872,387679,576.9032738
1,1202,A,7,5,2,933.7142857,506.2857143,60.85714286,215667.8571,14.17857143,76176.85714,46.67857143,139491,299.7142857,231250.2857,573.1428571,4672,451590.1429,483.6491738,993.6,446.4,67.3,240866.4,16.35,88222.4,50.95,152644,317.7,247294.2,608.6,4887.4,493048,496.2238325,784,656,44.75,152671.5,8.75,46063,36,106608.5,254.75,191140.5,484.5,4133.5,347945.5,443.8080357,802,638,64.5,220794,12.75,65440,51.75,155354,244.75,182075,492.75,4067,406936,507.4014963
1,1203,A,6,5,1,932,508,72.625,244221.1667,13.25,67766.5,59.375,176454.6667,244.375,194962.3333,615,4513,443696.5,476.069206,941.2,498.8,59.8,202081.2,11.85,61769.8,47.95,140311.4,257.15,202511.6,624.25,4710,409302.8,434.8733532,886,554,136.75,454921,20.25,97750,116.5,357171,180.5,157216,568.75,3528,615665,694.8814898,886,554,136.75,454921,20.25,97750,116.5,357171,180.5,157216,568.75,3528,615665,694.8814898
1,1204,A,5,5,0,921,519,37.3,128784.2,7.15,38075.4,30.15,90708.8,238.05,170112,645.65,4701,303597.2,329.6386536,921,519,37.3,128784.2,7.15,38075.4,30.15,90708.8,238.05,170112,645.65,4701,303597.2,329.6386536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1204,B,3,3,0,967,473,45.33333333,158050.6667,7.833333333,45515.66667,37.5,112535,269.5833333,190445,652.0833333,5408.333333,353904,365.9813857,967,473,45.33333333,158050.6667,7.833333333,45515.66667,37.5,112535,269.5833333,190445,652.0833333,5408.333333,353904,365.9813857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1205,A,7,5,2,866.4285714,573.5714286,33.64285714,120560,8.285714286,45704.71429,25.35714286,74855.28571,298.3214286,199667,534.4642857,6036.428571,326263.4286,376.5612531,910,530,40.2,144330.6,9.65,54397.8,30.55,89932.8,332.85,217406.6,536.95,6997,368734.2,405.2024176,757.5,682.5,17.25,61133.5,4.875,23972,12.375,37161.5,212,155318,528.25,3635,220086.5,290.5432343,848,592,33.5,118676,9.5,46746,24,71930,327.25,262034,487.25,4489,385199,454.2441038
1,1206,A,7,5,2,946.8571429,493.1428571,39.39285714,126903.7143,4.892857143,25292.28571,34.5,101611.4286,339.6071429,238103.7143,567.8571429,6184.714286,371192.1429,392.0254979,988.4,451.6,44.4,143662.4,5.55,29204,38.85,114458.4,361.1,248633.4,582.9,6774,399069.8,403.7533387,843,597,26.875,85007,3.25,15513,23.625,69494,285.875,211779.5,530.25,4711.5,301498,357.6488731,976,464,34,104403,3.75,17246,30.25,87157,388.25,287657,553.75,6061,398121,407.9108607
1,1207,A,6,4,2,902.5,537.5,69.04166667,236893.1667,14.29166667,70311.5,54.75,166581.6667,318.1666667,246926,515.2916667,5105,488924.1667,541.744229,959.5,480.5,73.75,251491.25,14.5625,69728.75,59.1875,181762.5,312.625,240695,573.125,5335.5,497521.75,518.5218864,788.5,651.5,59.625,207697,13.75,71477,45.875,136220,329.25,259388,399.625,4644,471729,598.2612555,892,548,87.75,310601,21.25,110497,66.5,200104,362.5,289225,441.75,4783,604609,677.8127803
